date,time,week,location
2020-08-25,10:00:00,35,2
2020-08-25,10:30:00,35,2
2020-08-25,11:00:00,35,2
2020-08-25,11:30:00,35,2
2020-08-25,12:00:00,35,2
2020-08-25,12:30:00,35,2
2020-08-25,13:00:00,35,2
2020-08-25,13:30:00,35,2
2020-08-25,14:00:00,35,2
2020-08-25,14:30:00,35,2
2020-08-25,15:00:00,35,2
2020-08-25,15:30:00,35,2
2020-08-25,16:00:00,35,2
2020-08-25,16:30:00,35,2
2020-08-25,17:00:00,35,2
2020-08-25,17:30:00,35,2
2020-08-25,18:00:00,35,2
2020-08-26,08:00:00,35,2
2020-08-26,08:30:00,35,2
2020-08-26,09:00:00,35,2
2020-08-26,09:30:00,35,2
2020-08-26,10:00:00,35,2
2020-08-26,10:30:00,35,2
2020-08-26,11:00:00,35,2
2020-08-26,11:30:00,35,2
2020-08-26,12:00:00,35,2
2020-08-26,12:30:00,35,2
2020-08-26,13:00:00,35,2
2020-08-26,13:30:00,35,2
2020-08-26,14:00:00,35,2
2020-08-26,14:30:00,35,2
2020-08-26,15:00:00,35,2
2020-08-26,15:30:00,35,2
2020-08-26,16:00:00,35,2
2020-08-26,16:30:00,35,2
2020-08-26,17:00:00,35,2
2020-08-26,17:30:00,35,2
2020-08-26,18:00:00,35,2
2020-08-27,08:00:00,35,2
